time_s,remaining_error,command_velocity,pass_through,state,planned_dir,planned_run_duration,real_velocity,position
1783297506.159899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.160899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.161899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.162899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.163899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.164899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.165899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.166899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.167899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.168899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.169899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.170899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.171899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.172899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.173899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.174899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.175899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.176899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.177899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.178899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.179899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.180899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.181899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.182899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.183899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.184899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.185899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.186899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.187899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.188899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.189899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.190899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.191899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.192899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.193899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.194899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.195899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.196899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
