time_s,remaining_error,command_velocity,pass_through,state,planned_dir,planned_run_duration,real_velocity,position,target_position
1783308923.796035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.797035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.798034,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.799035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.800035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.801035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.802035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.803035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.804035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.805035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.806035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.807035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.808035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.809035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.810035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.811035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.812035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.813035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.814034,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.815035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.816035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
